        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202608250000,   4.320,9999.000,   0.400,9999.000,   4.720,   0.400,   4.720,   0.400,   4.720
202608250006,   4.268,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250012,   4.213,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250018,   4.155,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250024,   4.095,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250030,   4.033,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250036,   3.969,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250042,   3.903,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250048,   3.836,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250054,   3.766,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250100,   3.696,   4.578,   0.400,   0.482,   4.578,   0.400,   4.578,   0.400,   4.578
202608250106,   3.624,   4.408,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250112,   3.550,   4.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250118,   3.475,   4.257,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250124,   3.399,   4.178,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250130,   3.322,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250136,   3.243,   3.998,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250142,   3.164,   3.919,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250148,   3.083,   3.817,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250154,   3.001,   3.827,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250200,   2.918,   3.758,   0.400,   0.440,   3.758,   0.400,   3.758,   0.400,   3.758
202608250206,   2.834,   3.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250212,   2.749,   3.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250218,   2.664,   3.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202608250224,   2.577,   3.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
